French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
fr̬re,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parl̩,speak
arriv̩,come
devrait,should
b̩b̩,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
̩taient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donn̩,given
train,train
corps,body
endroit,place
yeux,eyes
fa̤on,way
̩coute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
premi̬re,first
c̫t̩,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demand̩,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
esp̬re,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arr̻ter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
ch̩rie,sweetheart
gros,large
plut̫t,rather
aura,will have
filles,girls
jouer,to play
bureau,office
